drksId,indication.type0,indication.key0,indication.value0,indication.type1,indication.key1,indication.value1,indication.type2,indication.key2,indication.value2,indication.type3,indication.key3,indication.value3,indication.type4,indication.key4,indication.value4
DRKS00010929,ICD10,C50.9,"Malignant neoplasm: Breast, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011191,Free text,[---]*,Prevention of physical inactivity and related life-related diseases (e.g. cardiovascular disease),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011273,Free text,[---]*,Bronchial lesion after cryo-ablation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011318,Free text,[---]*,mucositis<br/>,ICD10,K12.3,Oral mucositis (ulcerative),NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011364,ICD10,F20.0,Paranoid schizophrenia,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,NA,NA,NA,NA,NA,NA
DRKS00011396,Free text,[---]*,Back pain with a neuropathic component,Free text,[---]*,"spinal syndrome, Lumbago and neuralgia",ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA
DRKS00011485,Free text,[---]*,current and  habitual well-being,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011585,ICD10,S72.0,Fracture of neck of femur,ICD10,S72.1,Pertrochanteric fracture,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011605,Free text,[---]*,cardiopulmonal resuscitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011651,Free text,[---]*,Intra-session test-retest reliability of quantitative MRI parameters in neurooncological MRI imaging of the brain,ICD10,C71,Malignant neoplasm of brain,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011663,ICD10,E78.5,"Hyperlipidaemia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011673,ICD10,F51,Nonorganic sleep disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011719,ICD10,C18,Malignant neoplasm of colon,ICD10,C19,Malignant neoplasm of rectosigmoid junction,ICD10,C20,Malignant neoplasm of rectum,NA,NA,NA,NA,NA,NA
DRKS00011901,ICD10,F17.2,Mental and behavioural disorders due to use of tobacco; Dependence syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012248,ICD10,K02,Dental caries,ICD10,K03,Other diseases of hard tissues of teeth,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012439,Free text,[---]*,healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012572,ICD10,M08,Juvenile arthritis,ICD10,M25.5,Pain in joint,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012605,Free text,[---]*,healthy elderly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012779,Free text,[---]*,Healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013081,Free text,[---]*,Patients with anticonvulsant therapy including off-label use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013162,ICD10,F06.7,Mild cognitive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013534,ICD10,K58,Irritable bowel syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013599,Free text,[---]*,healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005595,Free text,[---]*,Diabetes Type 2,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007102,ICD10,K03.2,Erosion of teeth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006742,ICD10,E88.9,"Metabolic disorder, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011659,ICD10,F00-F99,Mental and behavioural disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012324,ICD10,G35,Multiple sclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012870,ICD10,Z73,Problems related to life-management difficulty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012321,Free text,[---]*,Fall prevention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005743,ICD10,K42,Umbilical hernia,ICD10,K43,Ventral hernia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007619,ICD10,N94.4,Primary dysmenorrhoea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011455,ICD10,E66,Obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010285,ICD10,A41,Other sepsis,Free text,[---]*,"Severe sepsis, septic shock",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011505,Free text,[---]*,Surgical site infections after primary total joint arthroplasty in native hip-/ knee joints or spondylodesis.,ICD10,T81.4,"Infection following a procedure, not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010239,ICD10,I50,Heart failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007840,ICD10,O82,Single delivery by caesarean section,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008988,ICD10,I21,Acute myocardial infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005428,ICD10,I10,Essential (primary) hypertension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011313,ICD10,N80,Endometriosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010510,ICD10,S92.0,Fracture of calcaneus,ICD10,S82.5,Fracture of medial malleolus,ICD10,S82.81,[generalization S82.8: Fractures of other parts of lower leg],ICD10,S82.28,[generalization S82.2: Fracture of shaft of tibia],ICD10,S82.18,[generalization S82.1: Fracture of upper end of tibia]
DRKS00010880,ICD10,F20,Schizophrenia,ICD10,F25,Schizoaffective disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009780,ICD10,M00-M99,Diseases of the musculoskeletal system and connective tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012667,ICD10,G20,Parkinson disease,ICD10,G25,Other extrapyramidal and movement disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013271,Free text,[---]*,all types of cancer treated with an oral anticancer agent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009990,ICD10,S42.2,Fracture of upper end of humerus,Free text,[---]*,Humerus Fracture,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010800,Other,[---]*,ICD-10-CM (F33.41) Recurrent depression in partial remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011669,ICD10,F32.1,Moderate depressive episode,ICD10,F32.2,Severe depressive episode without psychotic symptoms,ICD10,F33.1,"Recurrent depressive disorder, current episode moderate",ICD10,F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms",NA,NA,NA
DRKS00009445,Other,[---]*,301.83 Borderline personality disorder,ICD10,F60.31,[generalization F60.3: Emotionally unstable personality disorder],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011290,Free text,[---]*,People having a high stress load and therefore being at risk to develop a stress-related health problem (burnout-syndrome),ICD10,Z73,Problems related to life-management difficulty,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011878,ICD10,G43,Migraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006275,ICD10,I69.3,Sequelae of cerebral infarction,ICD10,R27,Other lack of coordination,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005941,ICD10,C00-C75,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007784,ICD10,C25,Malignant neoplasm of pancreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008864,ICD10,C90.00,[generalization C90.0: Multiple myeloma],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012355,ICD10,F50.8,Other eating disorders,Other,[---]*,DSM-5. 307.51: Binge-Eating Disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006298,Free text,[---]*,psychological adaptation to parental cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006450,Free text,[---]*,Overactive Bladder,Free text,[---]*,Urinary Incontinence,ICD10,N32.8,Other specified disorders of bladder,ICD10,R32,Unspecified urinary incontinence,NA,NA,NA
DRKS00004981,ICD10,C61,Malignant neoplasm of prostate,Free text,[---]*,prostate cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005991,Free text,[---]*,"Thrombosis, Venous",ICD10,I82.9,Embolism and thrombosis of unspecified vein,ICD10,C25,Malignant neoplasm of pancreas,ICD10,C34,Malignant neoplasm of bronchus and lung,ICD10,C61,Malignant neoplasm of prostate
DRKS00007286,Free text,[---]*,Rheumatoid Arthritis,ICD10,M05,Seropositive rheumatoid arthritis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010317,Free text,[---]*,Mediastinal Cancer,Free text,[---]*,Metastatic Cancer,Free text,[---]*,Testicular Germ Cell Tumor,ICD10,D38.3,Neoplasm of uncertain or unknown behaviour: Mediastinum,ICD10,C62,Malignant neoplasm of testis
DRKS00010319,Free text,[---]*,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006397,Free text,[---]*,Urinary Bladder Overactive,Free text,[---]*,Urinary Bladder Diseases,Free text,[---]*,Urologic Diseases,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA
DRKS00006429,Free text,[---]*,"Complicated Urinary Tract Infection,",Free text,[---]*,Complicated Intra-abdominal Infection,ICD10,N39.0,"Urinary tract infection, site not specified",NA,NA,NA,NA,NA,NA
DRKS00003632,ICD10,C43,Malignant melanoma of skin,ICD10,C77,Secondary and unspecified malignant neoplasm of lymph nodes,ICD10,R52.9,"Pain, unspecified",NA,NA,NA,NA,NA,NA
DRKS00005713,ICD10,R25.2,Cramp and spasm,Free text,[---]*, Healthy Volunteer,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005755,Free text,[---]*,Lung Transplantation,ICD10,Z94.2,Lung transplant status,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005780,ICD10,M75.4,Impingement syndrome of shoulder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005795,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005949,Free text,[---]*,Electrical stimulation for Restoration of Vision after stroke (REVIS) in the damaged visual field after stroke<br/>,ICD10,H53.4,Visual field defects,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006277,Free text,[---]*,"Family risk for colorectal cancer (ICD-10 coding: C18, C19, C20)",ICD10,C18,Malignant neoplasm of colon,ICD10,C19,Malignant neoplasm of rectosigmoid junction,ICD10,C20,Malignant neoplasm of rectum,NA,NA,NA
DRKS00006345,ICD10,F41.0,Panic disorder [episodic paroxysmal anxiety],ICD10,F40.01,[generalization F40.0: Agoraphobia],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006415,Free text,[---]*,Renal Impairment,ICD10,N18,Chronic kidney disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006750,Free text,[---]*,healthy participants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006887,Free text,[---]*,"non-specific musculoskeletal complaints at shoulder, back, neck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007128,ICD10,F51.0,Nonorganic insomnia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007175,Free text,[---]*,Regulation of eating behavior in healthy subjects.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007301,Free text,[---]*,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007491,ICD10,M54.5,Low back pain,ICD10,M47,Spondylosis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007624,Free text,[---]*,Observation of the tear film (in healthy volunteers),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007635,Free text,[---]*,SUBSTANZKONSUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007705,ICD10,G47.31,[generalization G47.3: Sleep apnoea],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008007,ICD10,G93.6,Cerebral oedema,Free text,[---]*,increase of paCO2 during percutaneous dilatational trachostomy,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008010,Free text,[---]*,healthy partipitiants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008023,Free text,[---]*,postoperative pain management,ICD10,R52,"Pain, not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008024,ICD10,M79.7,Fibromyalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008181,Free text,[---]*,Healthy participants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008943,ICD10,E66.2,Extreme obesity with alveolar hypoventilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008967,ICD10,D37.0,"Neoplasm of uncertain or unknown behaviour: Lip, oral cavity and pharynx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009232,ICD10,I25.0,"Atherosclerotic cardiovascular disease, so described",ICD10,I08.3,"Combined disorders of mitral, aortic and tricuspid valves",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009235,ICD10,K51,Ulcerative colitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009293,Free text,[---]*,Chronic Total coronary occlusions,ICD10,I25.11,[generalization I25.1: Atherosclerotic heart disease],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009301,ICD10,F32.0,Mild depressive episode,ICD10,F32.1,Moderate depressive episode,ICD10,F33.0,"Recurrent depressive disorder, current episode mild",ICD10,F33.1,"Recurrent depressive disorder, current episode moderate",ICD10,F34.1,Dysthymia
DRKS00009399,ICD10,F43.1,Post-traumatic stress disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009505,Free text,[---]*,motion of spine,Free text,[---]*,Healthy Subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009546,Free text,[---]*,"blood pressure, stroke volume, stroke volume variation, pulse pressure Variation of patients unerrgoing cardiac surgery<br/>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009708,ICD10,M81,Osteoporosis without pathological fracture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009741,ICD10,F40.1,Social phobias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009743,Free text,[---]*,Healthy Volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010101,MedDRA,[---]*,10011401 (Crohn`s disease),MedDRA,[---]*,10009900 (Colitis ulcerative),ICD10,K50,Crohn disease [regional enteritis],ICD10,C51,Malignant neoplasm of vulva,NA,NA,NA
DRKS00010121,Free text,[---]*,Identification of odd-chain fatty acids as a biomarker for dietary fiber consumption,Free text,[---]*,Healthy Volunteer,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010152,Other,[---]*,OPS: 5-822 Implantation of an endoprosthesis of the knee,ICD10,R52.9,"Pain, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010208,ICD10,I00-I99,Diseases of the circulatory system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010409,Free text,[---]*,Perioperative ischemia in patients with brain tumors,ICD10,C71.9,"Malignant neoplasm: Brain, unspecified",ICD10,C79.3,Secondary malignant neoplasm of brain and cerebral meninges,ICD10,I63.9,"Cerebral infarction, unspecified",NA,NA,NA
DRKS00010416,ICD10,M54.5,Low back pain,Free text,[---]*,Back pain in pregnant women,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010417,ICD10,E11,Non-insulin-dependent diabetes mellitus,Free text,[---]*,diabetes,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010443,ICD10,M79.7,Fibromyalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010445,Free text,[---]*,Healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010452,ICD10,E11,Non-insulin-dependent diabetes mellitus,Free text,[---]*,Only healthy volunteers were included.,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010458,ICD10,M54.96,"[generalization M54.9: Dorsalgia, unspecified]",ICD10,S93.40,[generalization S93.4: Sprain and strain of ankle],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010568,Free text,[---]*,Healthy Subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010583,Free text,[---]*,Airway management with laryngeal mask,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010584,ICD10,I10,Essential (primary) hypertension,ICD10,I11,Hypertensive heart disease,ICD10,I12,Hypertensive renal disease,ICD10,I13,Hypertensive heart and renal disease,ICD10,I15,Secondary hypertension
DRKS00010660,Free text,[---]*,healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010684,Free text,[---]*,healthy participants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010782,Free text,[---]*,family caregivers show fear of falls of their relatives,Free text,[---]*,negative aspects of family cargiving,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010787,ICD10,K05.3,Chronic periodontitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010789,Free text,[---]*,Obese volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010803,Free text,[---]*,Insulin- and glucose metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010960,Free text,[---]*,Nosocomial infections,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011019,ICD10,H04,Disorders of lacrimal system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011123,ICD10,K21.0,Gastro-oesophageal reflux disease with oesophagitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011133,ICD10,I50,Heart failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011143,ICD10,G43,Migraine,Other,[---]*,DSM-IV (307.89): Pain Disorder Associated With Both Psychological Factors and a General Medical Condition,Other,[---]*,DSM-IV (316): Specified Psychological Factor Affecting Migraine,Other,[---]*,DSM-5 (F45.1):  Somatic Symptom Disorder with Predominant Pain,Other,[---]*,DSM-5 (54): Psychological Factor Affecting Migraine
DRKS00011193,Free text,[---]*,ORTHOSTATISCHEDEME,ICD10,R60.9,"Oedema, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011245,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011263,Free text,[---]*,healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011297,ICD10,L70.0,Acne vulgaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011526,ICD10,E88,Other metabolic disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011548,ICD10,M75.4,Impingement syndrome of shoulder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011603,Free text,[---]*,"Hyperhidrosis, axillary primary",ICD10,L74,Eccrine sweat disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011610,Free text,[---]*,cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011644,ICD10,J45,Asthma,ICD10,R94,Abnormal results of function studies,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011648,ICD10,M54.5,Low back pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011665,ICD10,F20,Schizophrenia,ICD10,F25,Schizoaffective disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011721,ICD10,E66,Obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011853,Free text,[---]*,sensorimotor incomplete spinal cord injury,Free text,[---]*,stroke,Free text,[---]*,unphysiological gait pattern due to old age (geriatric patients),ICD10,I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction",NA,NA,NA
DRKS00012301,Free text,[---]*,Pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012382,Free text,[---]*,Healthy elderly<br/>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012478,ICD10,K40,Inguinal hernia,ICD10,K80,Cholelithiasis,ICD10,K81,Cholecystitis,ICD10,K82,Other diseases of gallbladder,Free text,[---]*,Thyroidectomy and Hemithyroidectomy for various reasons
DRKS00013076,Free text,[---]*,primary medical care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013211,Free text,[---]*,None (healthy participants),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013254,Free text,[---]*,aspiration of gastric secretion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013356,ICD10,I67.88,[generalization I67.8: Other specified cerebrovascular diseases],ICD10,I63.0,Cerebral infarction due to thrombosis of precerebral arteries,ICD10,R58,"Haemorrhage, not elsewhere classified",NA,NA,NA,NA,NA,NA
DRKS00013455,Free text,[---]*,Healthy elderly probands,Free text,[---]*,Subjective memory complaints,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013540,Free text,[---]*,Invasive mechanical ventilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009883,Free text,[---]*,"Cancer Survivors, risk of cardiovascular diseases, nutritional behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010728,ICD10,E66,Obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007879,ICD10,E66,Obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011305,ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011084,Free text,[---]*,erosive-abrasive lesions on tooth structures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010421,ICD10,M16,Coxarthrosis [arthrosis of hip],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010538,ICD10,F00,Dementia in Alzheimer disease,ICD10,F01,Vascular dementia,ICD10,F02,Dementia in other diseases classified elsewhere,ICD10,F03,Unspecified dementia,NA,NA,NA
DRKS00011748,ICD10,F95.2,Combined vocal and multiple motor tic disorder [de la Tourette],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010655,ICD10,F51,Nonorganic sleep disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010105,ICD10,M41.09,[generalization M41.0: Infantile idiopathic scoliosis],Free text,[---]*,infantile postural asymmetry / kinematic imbalance due to suboccipital strain (KiSS),NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009854,Free text,[---]*,Transfer of Methadone from sweat of patiens undergoing substitution therapy on substance-free hair,Free text,[---]*,Correlation of Methadone-dose and concentration in blood-/sweat-samples,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013627,Free text,[---]*,Patients with a terminal illness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008869,ICD10,F32.0,Mild depressive episode,ICD10,F32.1,Moderate depressive episode,ICD10,F33.0,"Recurrent depressive disorder, current episode mild",ICD10,F33.1,"Recurrent depressive disorder, current episode moderate",NA,NA,NA
DRKS00013237,ICD10,C00-C97,Malignant neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007121,ICD10,K62,Other diseases of anus and rectum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007618,ICD10,B35.1,Tinea unguium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010551,Free text,[---]*,"In the first phase of the study, only healthy subjects are examined.<br/>Future studies with patients suffering from anxiety disorders and PTSD might be considered.<br/>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010714,ICD10,E11.90,[generalization E11.9: Non-insulin-dependent diabetes mellitus; Without complications],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012384,Free text,[---]*,muscular fatigue,Free text,[---]*, healthy subjects ,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011753,Free text,[---]*,In vivo CYP3A activity in palliative care patients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013493,ICD10,C32,Malignant neoplasm of larynx,Free text,[---]*,Head/neck tumours,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012404,ICD10,I46.1,"Sudden cardiac death, so described",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009363,ICD10,F60.31,[generalization F60.3: Emotionally unstable personality disorder],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011653,ICD10,K02,Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011710,ICD10,E14,Unspecified diabetes mellitus,ICD10,F33.9,"Recurrent depressive disorder, unspecified",Free text,[---]*,Suboptimal glycaemic control,Free text,[---]*,Diabetes-related distress,NA,NA,NA
DRKS00012531,ICD10,F42,Obsessive-compulsive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010811,ICD10,K08,Other disorders of teeth and supporting structures,Free text,[---]*,Dentin Hypersensitivity,ICD10,K03.8,Other specified diseases of hard tissues of teeth,NA,NA,NA,NA,NA,NA
DRKS00010552,ICD10,S32,Fracture of lumbar spine and pelvis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005601,Free text,[---]*,Catheter related infection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010212,ICD10,Z73,Problems related to life-management difficulty,ICD10,F32,Depressive episode,Free text,[---]*,Stress,NA,NA,NA,NA,NA,NA
DRKS00013645,ICD10,K76.8,Other specified diseases of liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009547,ICD10,L40.0,Psoriasis vulgaris,Free text,[---]*,Nail Psoriasis,NA,NA,NA,NA,NA,NA,NA,NA,NA
